Open,High,Low,Close,Volume,Timestamp
46212.06,46266.73,46208.24,46245.79,0.354754,2022-01-01T00:00:00Z
46233.95,46323.35,46225.56,46303.73,0.393746,2022-01-01T00:01:00Z
46312.26,46370.48,46305.75,46370.21,0.846843,2022-01-01T00:02:00Z
46358.23,46379.75,46309.69,46333.78,0.313366,2022-01-01T00:03:00Z
46328.07,46331.98,46300,46322.71,0.124923,2022-01-01T00:04:00Z
46320.29,46426.94,46281.53,46419.48,1.380022,2022-01-01T00:05:00Z
46428.57,46485.65,46428.57,46485.65,0.040086,2022-01-01T00:06:00Z
46499.99,46499.99,46426.32,46426.32,0.297775,2022-01-01T00:07:00Z
46428.35,46428.35,46368.14,46381.36,1.295417,2022-01-01T00:08:00Z
46393.29,46397.72,46342.69,46355.66,0.439032,2022-01-01T00:09:00Z
46360.29,46381.57,46337.91,46364.03,0.221574,2022-01-01T00:10:00Z
46376.56,46376.56,46283.85,46302.94,0.688761,2022-01-01T00:11:00Z
46296.4,46296.4,46272.8,46278.02,0.128409,2022-01-01T00:12:00Z
46279,46350.66,46279,46312.33,0.879335,2022-01-01T00:13:00Z
46325.03,46332.39,46303.05,46320.83,0.352074,2022-01-01T00:14:00Z
46316.56,46321.8,46305.67,46321.8,0.212265,2022-01-01T00:15:00Z
46314.29,46315.29,46297.94,46312.79,0.261276,2022-01-01T00:16:00Z
46307.02,46307.02,46264.82,46272.62,0.254202,2022-01-01T00:17:00Z
46272.88,46274.03,46253.29,46267.01,0.317573,2022-01-01T00:18:00Z
46265.18,46276.24,46221.95,46268.18,0.977017,2022-01-01T00:19:00Z
46273.35,46312.22,46268.67,46306.97,0.290226,2022-01-01T00:20:00Z
46309.29,46376.89,46276.49,46376.89,0.359633,2022-01-01T00:21:00Z
46369.55,46400.12,46364.86,46385.98,0.102595,2022-01-01T00:22:00Z
46376.83,46393.6,46353.39,46353.39,0.087891,2022-01-01T00:23:00Z
46366.34,46387.25,46366.34,46387.25,0.297024,2022-01-01T00:24:00Z
46379.74,46386.18,46371.44,46373.08,0.119719,2022-01-01T00:25:00Z
46375.54,46375.54,46373.36,46373.36,0.011713,2022-01-01T00:26:00Z
46377,46377,46343.58,46346.74,0.472225,2022-01-01T00:27:00Z
46353.51,46370.24,46347.65,46347.65,0.355879,2022-01-01T00:28:00Z
46345.95,46349.06,46332.05,46349.06,0.641638,2022-01-01T00:29:00Z
46369.3,46369.3,46354.44,46354.44,0.100173,2022-01-01T00:30:00Z
46354.37,46354.91,46344.97,46354.91,0.782088,2022-01-01T00:31:00Z
46354.4,46371.62,46340.33,46369.3,0.971861,2022-01-01T00:32:00Z
46371.62,46373.08,46359.37,46367.19,0.544833,2022-01-01T00:33:00Z
46362.81,46437.74,46362.81,46437.74,1.11301,2022-01-01T00:34:00Z
46433.94,46476.46,46433.94,46463.01,0.190987,2022-01-01T00:35:00Z
46463.01,46485.65,46456.23,46485.65,0.855096,2022-01-01T00:36:00Z
46487.01,46501.8,46463.62,46497.67,0.624575,2022-01-01T00:37:00Z
46500.65,46507.62,46489.07,46489.07,0.302741,2022-01-01T00:38:00Z
46493.17,46577.44,46493.17,46524.98,0.406711,2022-01-01T00:39:00Z
