Entry,Exit,PnL
2022-01-01T00:35:00Z,2022-01-01T02:37:00Z,-28.19
2022-01-01T02:57:00Z,2022-01-01T04:14:00Z,-0.76
2022-01-01T04:15:00Z,2022-01-01T05:14:00Z,-1.15
2022-01-01T05:15:00Z,2022-01-01T10:32:00Z,25.46
2022-01-01T10:44:00Z,2022-01-01T11:37:00Z,0.87
2022-01-01T11:55:00Z,2022-01-01T12:31:00Z,2.32
2022-01-01T12:32:00Z,2022-01-01T18:35:00Z,-46.95
2022-01-01T18:36:00Z,2022-01-01T18:56:00Z,0.61
2022-01-01T18:57:00Z,2022-01-01T19:10:00Z,-0.30
2022-01-01T19:16:00Z,2022-01-01T20:25:00Z,-1.60
2022-01-01T20:31:00Z,2022-01-01T22:13:00Z,8.96
2022-01-01T22:25:00Z,2022-01-02T01:15:00Z,0.55
2022-01-02T01:36:00Z,2022-01-02T04:09:00Z,-1.63
2022-01-02T04:19:00Z,2022-01-02T04:39:00Z,-0.64
2022-01-02T04:43:00Z,2022-01-02T07:31:00Z,1.30
2022-01-02T07:38:00Z,2022-01-02T08:06:00Z,0.45
2022-01-02T08:08:00Z,2022-01-02T08:21:00Z,-0.02
2022-01-02T08:23:00Z,2022-01-02T08:38:00Z,-0.00
2022-01-02T08:39:00Z,2022-01-02T09:23:00Z,0.22
2022-01-02T09:55:00Z,2022-01-02T10:35:00Z,-0.78
2022-01-02T10:58:00Z,2022-01-02T12:42:00Z,6.71
2022-01-02T13:03:00Z,2022-01-02T15:47:00Z,3.26
2022-01-02T16:10:00Z,2022-01-02T17:10:00Z,1.55
2022-01-02T17:27:00Z,2022-01-02T17:48:00Z,0.57
2022-01-02T17:49:00Z,2022-01-02T18:50:00Z,-22.86
2022-01-02T19:04:00Z,2022-01-02T19:23:00Z,3.37
2022-01-02T19:25:00Z,2022-01-02T19:37:00Z,0.06
2022-01-02T19:39:00Z,2022-01-02T20:02:00Z,0.01
2022-01-02T20:12:00Z,2022-01-02T21:05:00Z,-1.84
2022-01-02T21:14:00Z,2022-01-02T21:46:00Z,0.71
2022-01-02T21:47:00Z,2022-01-02T22:01:00Z,-0.44
2022-01-02T22:05:00Z,2022-01-02T22:53:00Z,-0.30
2022-01-02T23:02:00Z,2022-01-03T00:33:00Z,14.08
2022-01-03T00:45:00Z,2022-01-03T01:00:00Z,0.49
2022-01-03T01:23:00Z,2022-01-03T01:55:00Z,-0.34
2022-01-03T01:56:00Z,2022-01-03T02:07:00Z,0.74
2022-01-03T02:08:00Z,2022-01-03T04:38:00Z,-10.51
2022-01-03T04:51:00Z,2022-01-03T05:05:00Z,-1.10
2022-01-03T05:28:00Z,2022-01-03T06:18:00Z,2.29
2022-01-03T06:26:00Z,2022-01-03T07:27:00Z,-2.92
2022-01-03T07:31:00Z,2022-01-03T09:33:00Z,3.60
2022-01-03T09:40:00Z,2022-01-03T14:07:00Z,-6.03
2022-01-03T14:08:00Z,2022-01-03T14:37:00Z,1.44
2022-01-03T14:38:00Z,2022-01-03T14:47:00Z,4.07
2022-01-03T14:49:00Z,2022-01-03T16:43:00Z,-27.60
2022-01-03T16:52:00Z,2022-01-03T17:27:00Z,2.12
2022-01-03T17:29:00Z,2022-01-03T19:06:00Z,12.74
2022-01-03T19:36:00Z,2022-01-03T21:05:00Z,-53.46
2022-01-03T21:13:00Z,2022-01-03T21:25:00Z,0.68
2022-01-03T21:28:00Z,2022-01-04T02:11:00Z,37.86
2022-01-04T02:15:00Z,2022-01-04T02:44:00Z,2.95
2022-01-04T03:04:00Z,2022-01-04T03:22:00Z,0.73
2022-01-04T03:32:00Z,2022-01-04T03:58:00Z,-11.24
2022-01-04T04:06:00Z,2022-01-04T05:21:00Z,1.98
2022-01-04T05:27:00Z,2022-01-04T06:18:00Z,-1.06
2022-01-04T06:54:00Z,2022-01-04T09:34:00Z,1.85
2022-01-04T09:50:00Z,2022-01-04T10:16:00Z,0.28
2022-01-04T10:27:00Z,2022-01-04T10:41:00Z,0.23
2022-01-04T11:29:00Z,2022-01-04T11:40:00Z,-0.18
2022-01-04T11:41:00Z,2022-01-04T12:05:00Z,-0.23
2022-01-04T12:25:00Z,2022-01-04T13:00:00Z,-0.41
2022-01-04T13:17:00Z,2022-01-04T13:26:00Z,1.90
2022-01-04T13:27:00Z,2022-01-04T14:06:00Z,-17.39
2022-01-04T14:07:00Z,2022-01-04T14:46:00Z,6.38
2022-01-04T14:48:00Z,2022-01-04T15:39:00Z,-5.34
2022-01-04T15:40:00Z,2022-01-04T17:18:00Z,-17.76
2022-01-04T17:19:00Z,2022-01-04T17:55:00Z,3.58
2022-01-04T17:57:00Z,2022-01-04T19:06:00Z,-49.29
2022-01-04T19:39:00Z,2022-01-04T20:12:00Z,2.00
2022-01-04T20:13:00Z,2022-01-04T20:55:00Z,-2.94
2022-01-04T20:56:00Z,2022-01-05T00:36:00Z,10.51
2022-01-05T00:55:00Z,2022-01-05T02:00:00Z,1.08
2022-01-05T02:15:00Z,2022-01-05T04:38:00Z,-13.48
2022-01-05T05:16:00Z,2022-01-05T08:01:00Z,5.00
2022-01-05T08:06:00Z,2022-01-05T08:41:00Z,0.18
2022-01-05T08:42:00Z,2022-01-05T11:23:00Z,-13.52
2022-01-05T11:33:00Z,2022-01-05T12:57:00Z,-17.37
2022-01-05T13:18:00Z,2022-01-05T13:49:00Z,-1.37
2022-01-05T13:50:00Z,2022-01-05T14:30:00Z,0.69
2022-01-05T14:31:00Z,2022-01-05T14:36:00Z,2.18
2022-01-05T14:42:00Z,2022-01-05T15:11:00Z,-0.74
2022-01-05T15:26:00Z,2022-01-05T17:17:00Z,23.95
2022-01-05T17:18:00Z,2022-01-05T18:22:00Z,-15.90
2022-01-05T18:32:00Z,2022-01-05T19:02:00Z,2.91
2022-01-05T19:06:00Z,2022-01-05T19:28:00Z,0.24
2022-01-05T19:45:00Z,2022-01-05T22:09:00Z,-108.18
2022-01-05T22:12:00Z,2022-01-05T23:27:00Z,36.64
2022-01-05T23:28:00Z,2022-01-05T23:37:00Z,3.61
2022-01-06T00:02:00Z,2022-01-06T01:16:00Z,7.28
2022-01-06T01:29:00Z,2022-01-06T02:45:00Z,-8.24
2022-01-06T02:51:00Z,2022-01-06T03:30:00Z,2.88
2022-01-06T03:31:00Z,2022-01-06T04:52:00Z,-6.65
2022-01-06T05:07:00Z,2022-01-06T06:02:00Z,6.56
2022-01-06T06:14:00Z,2022-01-06T06:35:00Z,-0.03
2022-01-06T07:31:00Z,2022-01-06T07:45:00Z,0.38
2022-01-06T07:46:00Z,2022-01-06T07:53:00Z,0.57
2022-01-06T07:54:00Z,2022-01-06T09:07:00Z,4.07
2022-01-06T09:28:00Z,2022-01-06T11:55:00Z,5.62
2022-01-06T12:22:00Z,2022-01-06T13:00:00Z,4.82
2022-01-06T13:01:00Z,2022-01-06T13:27:00Z,1.33
2022-01-06T13:48:00Z,2022-01-06T14:48:00Z,9.49
2022-01-06T14:50:00Z,2022-01-06T15:17:00Z,-1.73
2022-01-06T16:16:00Z,2022-01-06T16:28:00Z,2.03
2022-01-06T16:43:00Z,2022-01-06T17:15:00Z,1.97
2022-01-06T17:28:00Z,2022-01-06T20:19:00Z,-2.14
2022-01-06T20:41:00Z,2022-01-07T04:51:00Z,-217.53
2022-01-07T05:12:00Z,2022-01-07T05:16:00Z,2.91
2022-01-07T05:35:00Z,2022-01-07T06:40:00Z,17.45
2022-01-07T07:05:00Z,2022-01-07T07:21:00Z,1.88
2022-01-07T07:23:00Z,2022-01-07T07:42:00Z,-0.22
2022-01-07T07:44:00Z,2022-01-07T08:27:00Z,17.50
2022-01-07T08:41:00Z,2022-01-07T09:15:00Z,-1.28
2022-01-07T09:20:00Z,2022-01-07T10:55:00Z,3.75
2022-01-07T10:58:00Z,2022-01-07T12:01:00Z,2.27
2022-01-07T12:04:00Z,2022-01-07T13:07:00Z,-2.25
2022-01-07T13:08:00Z,2022-01-07T13:31:00Z,-1.50
2022-01-07T13:39:00Z,2022-01-07T14:20:00Z,9.35
2022-01-07T14:34:00Z,2022-01-07T14:45:00Z,9.37
2022-01-07T14:46:00Z,2022-01-07T15:03:00Z,8.33
2022-01-07T15:04:00Z,2022-01-07T16:26:00Z,25.01
2022-01-07T16:50:00Z,2022-01-07T17:20:00Z,-3.46
2022-01-07T17:21:00Z,2022-01-07T19:27:00Z,-8.83
2022-01-07T19:29:00Z,2022-01-07T20:16:00Z,-1.66
2022-01-07T20:32:00Z,2022-01-07T22:44:00Z,8.04
2022-01-07T22:45:00Z,2022-01-08T00:01:00Z,9.24
